,BuyPrice,BuyDate,SellPrice,SellDate,Equity,PnL_Percent,Symbol
0,293.5,2015-02-13,281.5,2015-03-16,9542.0,-4.088586030664395,SBIN
1,288.45001220703125,2015-03-19,279.3999938964844,2015-03-23,9193.349395751953,-3.1374650468211254,SBIN
2,268.0,2015-05-11,289.8999938964844,2015-05-18,9887.949188232422,8.171639513613572,SBIN
3,262.0,2015-06-10,254.0500030517578,2015-06-12,9543.799301147461,-3.0343499802451097,SBIN
4,255.75,2015-06-17,270.3999938964844,2015-07-07,10035.849075317383,5.728247857862903,SBIN
5,230.25,2015-09-09,256.6499938964844,2015-10-19,11121.048812866211,11.465795394781487,SBIN
6,239.6999969482422,2015-11-04,232.89999389648438,2015-12-11,10758.248672485352,-2.8368807418992668,SBIN
7,229.60000610351562,2015-12-17,222.8000030517578,2016-01-05,10395.448532104492,-2.961673724299475,SBIN
8,170.0,2016-02-16,161.9499969482422,2016-02-18,9854.398345947266,-4.735295912798714,SBIN
9,184.9499969482422,2016-05-09,178.5,2016-05-17,9462.54850769043,-3.487427442373629,SBIN
10,175.8000030517578,2016-05-26,200.1999969482422,2016-05-30,10705.748184204102,13.879404705869486,SBIN
11,253.89999389648438,2016-11-08,278.75,2016-11-11,11699.448440551758,9.787320480853195,SBIN
12,252.5,2017-01-02,245.8000030517578,2017-01-04,11341.248580932617,-2.6534641379176978,SBIN
13,286.6499938964844,2017-06-19,277.6000061035156,2017-06-28,10938.299057006836,-3.157156108727112,SBIN
14,275.5,2017-07-04,288.8999938964844,2017-07-13,11410.898818969727,4.8638816321177405,SBIN
15,279.70001220703125,2017-08-24,272.0,2017-09-12,11052.898330688477,-2.7529538330272847,SBIN
16,275.6499938964844,2017-09-13,268.1499938964844,2017-09-20,10702.898330688477,-2.7208417072617443,SBIN
17,255.5,2017-10-03,243.8000030517578,2017-10-19,10173.198455810547,-4.57925516565252,SBIN
18,247.0,2017-10-24,330.0,2017-10-26,13526.198455810547,33.603238866396765,SBIN
19,304.6499938964844,2018-01-15,296.0,2018-01-17,13095.598724365234,-2.8393218676457668,SBIN
20,317.79998779296875,2018-01-23,302.8999938964844,2018-02-02,12434.698974609375,-4.688481582381619,SBIN
21,297.8999938964844,2018-02-08,288.70001220703125,2018-02-14,12007.499725341797,-3.0882785760143303,SBIN
22,274.20001220703125,2018-02-23,260.45001220703125,2018-03-05,11366.249725341797,-5.014587668806607,SBIN
23,247.85000610351562,2018-03-27,238.39999389648438,2018-04-26,10890.99917602539,-3.8127948252236115,SBIN
24,245.8000030517578,2018-04-30,273.29998779296875,2018-06-11,12050.998504638672,11.187951342466135,SBIN
25,262.5,2018-07-19,289.5,2018-07-27,13215.998504638672,10.285714285714285,SBIN
26,269.25,2018-10-30,260.8999938964844,2019-02-19,12756.848205566406,-3.1012093234969824,SBIN
27,267.5,2019-02-20,289.20001220703125,2019-03-12,13726.748779296875,8.11215409608645,SBIN
28,331.3999938964844,2020-01-10,321.0,2020-01-20,13250.349029541016,-3.138199785161403,SBIN
29,195.25,2020-03-26,192.0,2020-03-31,12982.599029541016,-1.6645326504481435,SBIN
30,156.14999389648438,2020-05-27,169.89999389648438,2020-06-02,14073.849029541016,8.80563595097878,SBIN
31,180.64999389648438,2020-06-19,208.5,2020-08-26,16168.299499511719,15.416555241886234,SBIN
32,201.4499969482422,2020-09-11,193.0500030517578,2020-09-21,15446.299987792969,-4.169766206867977,SBIN
33,182.75,2020-09-28,199.6999969482422,2020-10-12,16820.099731445312,9.274964130365081,SBIN
34,192.0,2020-11-02,203.5,2020-11-04,17770.599731445312,5.989583333333334,SBIN
35,362.0,2021-03-30,351.25,2021-04-07,17193.849731445312,-2.9696132596685083,SBIN
36,339.8999938964844,2021-04-26,390.0,2021-05-18,19648.850036621094,14.739631363092476,SBIN
37,418.75,2021-08-25,468.0,2021-09-17,21864.350036621094,11.761194029850747,SBIN
