,Symbol,BuyDate,BuyPrice,SellDate,SellPrice,PnL_Percent,FinalReturn,PnL_Points
0,AARTIIND.BO,2021-12-24 14:45:00+05:30,958.4500122070312,2021-12-24 09:30:00+05:30,960.0999755859375,0.17214913223349695,20030.999755859375,1.64996337890625
1,AARTIIND.BO,2021-12-27 12:45:00+05:30,956.7999877929688,2021-12-27 13:15:00+05:30,968.5999755859375,1.233276331889128,20114.000244140625,11.79998779296875
2,AARTIIND.BO,2021-12-28 09:30:00+05:30,982.9000244140625,2021-12-28 14:45:00+05:30,990.0,0.7223497211906184,20164.000244140625,7.0999755859375
3,AARTIIND.BO,2021-12-29 09:30:00+05:30,992.5499877929688,2021-12-29 14:45:00+05:30,994.0499877929688,0.15112588972323657,20099.000244140625,1.5
4,AARTIIND.BO,2021-12-30 14:45:00+05:30,980.5,2021-12-30 14:30:00+05:30,983.0,0.25497195308516063,20124.000244140625,2.5
5,AARTIIND.BO,2021-12-31 09:30:00+05:30,992.4000244140625,2021-12-31 14:45:00+05:30,1005.25,1.2948382980466413,20362.000732421875,12.8499755859375
6,AARTIIND.BO,2022-01-03 12:00:00+05:30,1018.2999877929688,2022-01-03 14:45:00+05:30,1017.0,-0.12766255607900992,20308.30096435547,-1.29998779296875
7,AARTIIND.BO,2022-01-04 10:00:00+05:30,1006.5000610351562,2022-01-04 09:45:00+05:30,1015.1500244140625,0.8594101196586131,20297.301208496094,8.64996337890625
8,AARTIIND.BO,2022-01-05 12:15:00+05:30,998.4500122070312,2022-01-05 14:45:00+05:30,998.0,-0.04507108032744846,20271.30145263672,-0.45001220703125
9,AARTIIND.BO,2022-01-06 14:45:00+05:30,992.25,2022-01-06 11:45:00+05:30,983.0499877929688,-0.9271869193279164,20084.30194091797,-9.20001220703125
10,AARTIIND.BO,2022-01-07 10:00:00+05:30,1003.0,2022-01-07 10:15:00+05:30,1013.1500244140625,1.0119665417809072,20205.402404785156,10.1500244140625
11,AARTIIND.BO,2022-01-10 10:30:00+05:30,1047.800048828125,2022-01-10 14:00:00+05:30,1069.2501220703125,2.047153296678844,20661.85333251953,21.4500732421875
12,AARTIIND.BO,2022-01-11 09:30:00+05:30,1093.6500244140625,2022-01-11 14:45:00+05:30,1097.6500244140625,0.36574771734157396,20637.454650878906,4.0
13,AARTIIND.BO,2022-01-12 09:30:00+05:30,1100.0,2022-01-12 14:45:00+05:30,1104.550048828125,0.4136408025568182,20624.756408691406,4.550048828125
14,AARTIIND.BO,2022-01-13 14:45:00+05:30,1103.1500244140625,2022-01-13 13:15:00+05:30,1100.75,-0.21756101717327808,20563.65509033203,-2.4000244140625
15,AARTIIND.BO,2022-01-14 09:30:00+05:30,1110.550048828125,2022-01-14 14:45:00+05:30,1099.9000244140625,-0.9589864432765207,20343.05596923828,-10.6500244140625
16,AARTIIND.BO,2022-01-17 10:30:00+05:30,1106.0999755859375,2022-01-17 14:45:00+05:30,1105.0999755859375,-0.09040774089794797,20298.855529785156,-1.0
